code6	title	class	system/local	cto	cto_name	ucd_academic	ucd_senate_federation	Durst/Federation	Academic Count	Staff Count
003487	PROJ SCIENTIST (WOS)	PROJ SCIENTIST (WOS)	Academic	Systemwide	581	T	UNK	Federation	1	
003488	ASSOC PROJ SCIENTIST (WOS)	ASSOC PROJ SCIENTIST (WOS)	Academic	Systemwide	581	T	UNK	Federation		
003489	ASST PROJ SCIENTIST (WOS)	ASST PROJ SCIENTIST (WOS)	Academic	Systemwide	581	T	UNK	Federation	2	
003490	PROJ SCIENTIST-FY NEX	PROJ SCIENTIST-FY NEX	Academic	Local	581	T	Federation	Federation		
003491	PROJ SCIENTIST-FY-B/E/E NEX	PROJ SCIENTIST-FY-B/E/E NEX	Academic	Local	581	T	Federation	Federation	1	
003492	ASSOC PROJ SCIENTIST-FY NEX	ASSOC PROJ SCIENTIST-FY NEX	Academic	Local	581	T	Federation	Federation	4	
003493	ASSOC PROJ SCNTST-FY-B/E/E NEX	ASSOC PROJ SCNTST-FY-B/E/E NEX	Academic	Local	581	T	Federation	Federation	1	
003494	ASST PROJ SCIENTIST-FY NEX	ASST PROJ SCIENTIST-FY NEX	Academic	Local	581	T	Federation	Federation	4	
003495	ASST PROJ SCNTST-FY-B/E/E NEX	ASST PROJ SCNTST-FY-B/E/E NEX	Academic	Local	581	T	Federation	Federation	1	
003496	VIS PROJ SCIENTIST NEX	VIS PROJ SCIENTIST NEX	Academic	Local	583	T	No			
003497	VIS ASSOC PROJ SCIENTIST NEX	VIS ASSOC PROJ SCIENTIST NEX	Academic	Local	583	T	No			
003498	VIS ASST PROJ SCIENTIST NEX	VIS ASST PROJ SCIENTIST NEX	Academic	Local	583	T	No			
003501	COORD PUBLIC PROG VIII	COORD PUBLIC PROG VIII	Academic	Systemwide	927	T	No			
003503	COORD PUBLIC PROG VII	COORD PUBLIC PROG VII	Academic	Systemwide	927	F	No			
003505	COORD PUBLIC PROG VI	COORD PUBLIC PROG VI	Academic	Systemwide	927	F	No			
003507	COORD PUBLIC PROG V	COORD PUBLIC PROG V	Academic	Systemwide	927	F	No			
003509	COORD PUBLIC PROG IV	COORD PUBLIC PROG IV	Academic	Systemwide	927	F	No			
003511	COORD PUBLIC PROG III	COORD PUBLIC PROG III	Academic	Systemwide	927	F	No			
003513	COORD PUBLIC PROG II	COORD PUBLIC PROG II	Academic	Systemwide	927	F	No			
003515	COORD PUBLIC PROG I	COORD PUBLIC PROG I	Academic	Systemwide	927	F	No			
003520	CONTINUING EDUCATOR I	CONTINUING EDUCATOR I	Academic	Systemwide	825	F	Federation	Federation		
003521	CONTINUING EDUCATOR II	CONTINUING EDUCATOR II	Academic	Systemwide	825	F	Federation	Federation	6	
003522	CONTINUING EDUCATOR III	CONTINUING EDUCATOR III	Academic	Systemwide	825	F	Federation	Federation	4	
003530	CONTINUING EDUCATOR I NEX	CONTINUING EDUCATOR I NEX	Academic	Local	825	F	Federation	Federation		
003531	CONTINUING EDUCATOR II NEX	CONTINUING EDUCATOR II NEX	Academic	Local	825	F	Federation	Federation		
003532	CONTINUING EDUCATOR III NEX	CONTINUING EDUCATOR III NEX	Academic	Local	825	F	Federation	Federation		
003539	PROGRAM COORDINATOR NEX	PROGRAM COORDINATOR NEX	Academic	Systemwide	828	F	No			
003540	PROG COORD	PROG COORD	Academic	Systemwide	828	F	No			
003541	COORD OF PUBLIC PROG VIII NEX	COORD OF PUBLIC PROG VIII NEX	Academic	Systemwide	927	F	No			
003542	COORD PUBLIC PROG VIII NON REP	COORD PUBLIC PROG VIII NON REP	Academic	Systemwide	927	F	UNK			
003543	COORD OF PUBLIC PROG VII NEX	COORD OF PUBLIC PROG VII NEX	Academic	Systemwide	927	F	No			
003544	COORD PUBLIC PROG VII NON REP	COORD PUBLIC PROG VII NON REP	Academic	Systemwide	927	F	UNK			
003545	COORD OF PUBLIC PROG VI NEX	COORD OF PUBLIC PROG VI NEX	Academic	Systemwide	927	F	No			
003546	COORD PUBLIC PROG VI NON REP	COORD PUBLIC PROG VI NON REP	Academic	Systemwide	927	F	UNK			
003547	COORD OF PUBLIC PROG V NEX	COORD OF PUBLIC PROG V NEX	Academic	Systemwide	927	F	No			
003548	COORD PUBLIC PROG V NON REP	COORD PUBLIC PROG V NON REP	Academic	Systemwide	927	F	UNK			
003549	COORD OF PUBLIC PROG IV NEX	COORD OF PUBLIC PROG IV NEX	Academic	Systemwide	927	F	No			
003550	COORD PUBLIC PROG IV NON REP	COORD PUBLIC PROG IV NON REP	Academic	Systemwide	927	F	UNK			
003551	COORD OF PUBLIC PROG III NEX	COORD OF PUBLIC PROG III NEX	Academic	Systemwide	927	F	No			
003552	COORD PUBLIC PROG III NON REP	COORD PUBLIC PROG III NON REP	Academic	Systemwide	927	F	UNK			
003553	COORD OF PUBLIC PROG II NEX	COORD OF PUBLIC PROG II NEX	Academic	Systemwide	927	F	No			
003554	COORD PUBLIC PROG II NON REP	COORD PUBLIC PROG II NON REP	Academic	Systemwide	927	F	UNK			
003555	COORD OF PUBLIC PROG I NEX	COORD OF PUBLIC PROG I NEX	Academic	Systemwide	927	F	No			
003556	COORD PUBLIC PROG I NON REP	COORD PUBLIC PROG I NON REP	Academic	Systemwide	927	F	UNK			
003557	COORD PUB PROG NON REP	COORD PUB PROG NON REP	Academic	Systemwide	927	F	UNK			
003558	COORD PUBLIC PROG	COORD PUBLIC PROG	Academic	Systemwide	927	F	UNK			
003559	ASSOC COORD PUB PROG NON REP	ASSOC COORD PUB PROG NON REP	Academic	Systemwide	927	F	UNK			
003560	ASSOC COORD PUBLIC PROG	ASSOC COORD PUBLIC PROG	Academic	Systemwide	927	F	UNK			
003561	ASST COORD PUB PROG NON REP	ASST COORD PUB PROG NON REP	Academic	Systemwide	927	F	UNK			
003562	ASST COORD PUBLIC PROG	ASST COORD PUBLIC PROG	Academic	Systemwide	927	F	UNK			
003570	TEACHER-UNEX-CONTRACT YR	TEACHER-UNEX-CONTRACT YR	Academic	Systemwide	828	F	No		19	
003572	ASST TEACHER-UNEX	ASST TEACHER-UNEX	Academic	Systemwide	828	F	Federation	Federation		
003574	TEACHER-UNEX	TEACHER-UNEX	Academic	Systemwide	828	F	Federation		3	
003575	SPEAKER-UNEX	SPEAKER-UNEX	Academic	Systemwide	828	F	No	Federation		
