KFS_PROPOSAL_NUMBER,ORACLE_AWARD_NUMBER
126887,K322D55
126890,K322D56
126886,K322D57
126888,K322D58
126899,K322D59
126900,K322D60
126898,K322D62
127011,K322D63
126906,K322D64
126901,K322D65
126907,K322D67
126908,K322D68
126905,K322D69
126902,K322D70
126915,K322D71
126838,K322D72
126928,K322D73
126926,K322D75
126921,K322D76
126924,K322D77
126930,K322D78
126925,K322D79
126929,K322D80
126922,K322D81
126916,K322D82
126910,K322D83
126913,K322D84
126914,K322D86
126911,K322D87
126912,K322D88
126944,K322D91
126943,K322D95
126932,K322D96
126937,K322D97
126939,K322D98
126938,K322D99
131633,K322F00
131635,K322F01
131634,K322F02
131636,K322F03
131637,K322F04
131919,K322F05
131921,K322F06
131924,K322F07
131936,K322F08
131937,K322F09
131938,K322F10
131651,K322F11
131644,K322F12
131645,K322F13
131646,K322F14
131647,K322F15
131648,K322F16
131649,K322F17
131642,K322F18
131650,K322F19
131654,K322F24
131656,K322F25
131657,K322F26
131659,K322F28
131661,K322F29
131663,K322F30
131664,K322F31
131665,K322F32
131660,K322F33
131662,K322F34
131705,K322F35
131670,K322F36
131671,K322F37
131672,K322F38
131673,K322F39
131667,K322F40
131668,K322F41
131939,K322F43
131682,K322F44
131681,K322F45
131675,K322F46
131676,K322F47
131677,K322F48
131720,K322F49
131678,K322F50
131680,K322F51
131679,K322F52
131687,K322F55
131688,K322F56
131689,K322F57
131690,K322F58
131692,K322F59
131693,K322F60
131691,K322F61
131700,K322F62
131701,K322F63
131702,K322F64
131703,K322F65
131704,K322F66
131843,K322F68
131706,K322F69
131709,K322F70
131711,K322F71
131713,K322F74
131714,K322F75
131715,K322F76
131716,K322F77
131725,K322F78
131730,K322F79
131726,K322F81
132765,K322F82
131728,K322F83
131735,K322F84
131750,K322F85
131729,K322F86
131731,K322F87
131795,K322F88
131737,K322F89
131733,K322F90
131734,K322F91
131732,K322F92
131738,K322F93
131739,K322F94
131740,K322F95
131736,K322F96
131741,K322F97
107413,K323186
107629,K323196
107359,K323357
107626,K323368
2660,K323401
108190,K323539
108482,K323565
108810,K323615
108989,K323626
108959,K323630
107323,K323864
113108,K323A04
113202,K323A07
113256,K323A09
113315,K323A16
113391,K323A27
113509,K323A29
113049,K323A30
113501,K323A36
113610,K323A40
113363,K323A76
113413,K323A79
113434,K323A80
113469,K323A87
113546,K323A89
117553,K323B00
117552,K323B01
117551,K323B02
117571,K323B03
117569,K323B06
117572,K323B07
117558,K323B09
117574,K323B12
117573,K323B13
117579,K323B17
117568,K323B19
117612,K323B29
117611,K323B30
117675,K323B31
117610,K323B32
117609,K323B34
117607,K323B36
117605,K323B37
117597,K323B45
117598,K323B46
117619,K323B47
117636,K323B50
117620,K323B51
117616,K323B53
117617,K323B55
117622,K323B57
117627,K323B58
117634,K323B60
117625,K323B61
117624,K323B63
117585,K323B64
117628,K323B67
117635,K323B68
117650,K323B69
117632,K323B70
117649,K323B71
117647,K323B72
117646,K323B73
117658,K323B74
117645,K323B75
117644,K323B76
117641,K323B79
117640,K323B80
117638,K323B84
117516,K323B85
117656,K323B86
117665,K323B87
117657,K323B88
117653,K323B89
117652,K323B90
117651,K323B91
117663,K323B97
117662,K323B98
117660,K323B99
122270,K323C00
122275,K323C01
122266,K323C02
131666,K323C03
122273,K323C04
122272,K323C05
122274,K323C06
122328,K323C07
122290,K323C08
122280,K323C10
122325,K323C12
122324,K323C13
122282,K323C14
122283,K323C15
122284,K323C16
122288,K323C17
122285,K323C18
122287,K323C19
122289,K323C20
122294,K323C27
122296,K323C28
122299,K323C29
122303,K323C30
122292,K323C31
122297,K323C32
122300,K323C33
122302,K323C34
122347,K323C35
122349,K323C36
122313,K323C38
122310,K323C39
122311,K323C40
122307,K323C42
122308,K323C43
122312,K323C45
122334,K323C47
122306,K323C49
122338,K323C51
122345,K323C52
122340,K323C53
122343,K323C54
122337,K323C56
122344,K323C57
122336,K323C58
122339,K323C59
122330,K323C60
122318,K323C61
122320,K323C62
122331,K323C63
122321,K323C64
122317,K323C65
122322,K323C66
122316,K323C67
122407,K323C68
122836,K323C69
122361,K323C70
122353,K323C71
122354,K323C72
122358,K323C73
122362,K323C74
122356,K323C75
122351,K323C76
122360,K323C77
122357,K323C79
122352,K323C80
122367,K323C81
122368,K323C82
122392,K323C83
122405,K323C84
126281,K323C88
122371,K323C91
122372,K323C92
122373,K323C93
122374,K323C94
122375,K323C95
122376,K323C96
122377,K323C97
122380,K323C98
122952,K323C99
126933,K323D00
126942,K323D01
126941,K323D02
126935,K323D03
126940,K323D04
126954,K323D07
126953,K323D08
126951,K323D09
126949,K323D11
126948,K323D12
126956,K323D13
126968,K323D16
126969,K323D17
126970,K323D18
126971,K323D19
126972,K323D20
126974,K323D21
126975,K323D22
126976,K323D23
126962,K323D24
126959,K323D25
126961,K323D26
126958,K323D27
126960,K323D28
126964,K323D29
126963,K323D30
126987,K323D32
126978,K323D34
126985,K323D35
126981,K323D36
126979,K323D37
126983,K323D38
126980,K323D39
126984,K323D40
126982,K323D41
126977,K323D42
126990,K323D43
126989,K323D44
126988,K323D45
126992,K323D46
126991,K323D47
126998,K323D49
127004,K323D50
127003,K323D51
126999,K323D52
127001,K323D53
127000,K323D54
127002,K323D55
126996,K323D56
126997,K323D57
127008,K323D64
127019,K323D65
127010,K323D66
127007,K323D67
127024,K323D70
127016,K323D71
127018,K323D72
127023,K323D73
127021,K323D74
127014,K323D75
127020,K323D76
127032,K323D77
127015,K323D78
127013,K323D79
127040,K323D80
127038,K323D81
127036,K323D85
127029,K323D86
127034,K323D87
127031,K323D88
127030,K323D89
127035,K323D90
127027,K323D91
127048,K323D94
127047,K323D95
127043,K323D96
127044,K323D97
127051,K323D98
127060,K323D99
131866,K323F00
131745,K323F01
131746,K323F02
131743,K323F03
131744,K323F04
131747,K323F05
131749,K323F06
131946,K323F09
131752,K323F10
131755,K323F11
131757,K323F12
131759,K323F13
131758,K323F14
131760,K323F15
131763,K323F18
131767,K323F19
131766,K323F20
131764,K323F21
131765,K323F22
131768,K323F23
131769,K323F24
131770,K323F25
131771,K323F26
131773,K323F27
131949,K323F29
131784,K323F30
131778,K323F31
131781,K323F32
132092,K323F33
131782,K323F34
131785,K323F35
131950,K323F36
131951,K323F37
131791,K323F39
131789,K323F42
131793,K323F43
131794,K323F44
131796,K323F45
131797,K323F46
131798,K323F47
131799,K323F48
131790,K323F50
131792,K323F51
131801,K323F52
131802,K323F59
131804,K323F60
131805,K323F61
131809,K323F62
131808,K323F63
132162,K323F64
131811,K323F65
131813,K323F66
131814,K323F67
131815,K323F68
131816,K323F69
131817,K323F70
131818,K323F71
131807,K323F72
131810,K323F73
131812,K323F74
131821,K323F75
131828,K323F76
131819,K323F77
131822,K323F78
131823,K323F79
131826,K323F80
131827,K323F81
131829,K323F82
131824,K323F83
131825,K323F84
131830,K323F85
131886,K323F86
131952,K323F88
131953,K323F89
131954,K323F90
131873,K323F91
131834,K323F97
131835,K323F98
131837,K323F99
107701,K324010
106605,K324031
107685,K324220
